  PID  PPID STAT     ELAPSED    RSS COMMAND
    1     0 Ss   05-23:11:27  23536 /sbin/launchd
   98     1 Ss   05-23:11:22  60416 /usr/libexec/logd
  100     1 Ss   05-23:11:22  17024 /usr/libexec/UserEventAgent (System)
  102     1 Ss   05-23:11:22   9792 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  103     1 Ss   05-23:11:22  12816 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  106     1 Ss   05-23:11:22  14096 /usr/sbin/systemstats --daemon
  110     1 Ss   05-23:11:22  11360 /usr/libexec/configd
  112     1 Ss   05-23:11:22   9168 /System/Library/CoreServices/powerd.bundle/powerd
  113     1 Ss   05-23:11:22   2336 /usr/libexec/IOMFB_bics_daemon
  117     1 Ss   05-23:11:22   6048 /usr/libexec/remoted
  121     1 Ss   05-23:11:22   2208 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  123     1 Ss   05-23:11:22   3200 /usr/libexec/watchdogd
  127     1 Ss   05-23:11:22  31152 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  129     1 Ss   05-23:11:22   8080 /usr/libexec/kernelmanagerd
  130     1 Ss   05-23:11:22   6400 /usr/libexec/diskarbitrationd
  134     1 Ss   05-23:11:22   2320 /usr/sbin/syslogd
  136     1 Ss   05-23:11:22   5184 /usr/libexec/thermalmonitord
  137     1 Ss   05-23:11:22  12496 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  138     1 Ss   05-23:11:22   5168 /usr/libexec/xprotectd
  139     1 Ss   05-23:11:22  19952 /usr/libexec/opendirectoryd
  140     1 Ss   05-23:11:22  18848 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  141     1 Ss   05-23:11:22  12320 /System/Library/CoreServices/launchservicesd
  142     1 Ss   05-23:11:22   6944 /usr/libexec/timed
  143     1 Ss   05-23:11:22   3360 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  144     1 Ss   05-23:11:22   9152 /usr/sbin/securityd -i
  146     1 Ss   05-23:11:22  26496 /usr/libexec/locationd
  147     1 Ss   05-23:11:22  10592 /usr/libexec/nesessionmanager
  149     1 Ss   05-23:11:22   2720 autofsd
  150     1 Ss   05-23:11:22  22864 /usr/libexec/dasd
  151     1 Ss   05-23:11:22   8448 /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
  152     1 Ss   05-23:11:22   3328 /usr/libexec/corerepaird
  154     1 Ss   05-23:11:22   3840 /usr/sbin/distnoted daemon
  158     1 Ss   05-23:11:22   4928 /System/Library/CoreServices/logind
  159     1 Ss   05-23:11:22   7072 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  160     1 Ss   05-23:11:22   2048 /usr/sbin/KernelEventAgent
  164     1 Ss   05-23:11:22  29536 /usr/sbin/bluetoothd
  165     1 Ss   05-23:11:22   4544 /usr/sbin/notifyd
  167     1 Ss   05-23:11:22  11472 /usr/libexec/corebrightnessd --launchd
  168     1 Ss   05-23:11:22   9280 /usr/libexec/AirPlayXPCHelper
  169     1 Ss   05-23:11:22  15872 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  171     1 Ss   05-23:11:22 115616 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  172     1 Ss   05-23:11:22  18528 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
  173     1 Ss   05-23:11:22   6608 /usr/sbin/cfprefsd daemon
  174     1 Ss   05-23:11:22  49696 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  177     1 Ss   05-23:11:22  23456 /usr/libexec/runningboardd
  178     1 Ss   05-23:11:22  13792 /System/Library/CoreServices/coreservicesd
  179     1 Ss   05-23:11:22  16208 /usr/libexec/trustd
  180     1 Ss   05-23:11:22  15872 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  182     1 Ss   05-23:11:22  18272 /usr/libexec/lsd runAsRoot
  185     1 Ss   05-23:11:22  37920 /usr/sbin/coreaudiod
  186     1 Ss   05-23:11:22   2880 /usr/libexec/PowerUIAgent
  192     1 Ss   05-23:11:21   6816 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
  194     1 Ss   05-23:11:21  19088 /usr/sbin/mDNSResponder
  195     1 Ss   05-23:11:21  10368 /usr/libexec/eligibilityd
  199     1 S    05-23:11:21   2544 /usr/sbin/distnoted agent
  201     1 Ss   05-23:11:21  26784 /usr/libexec/airportd
  204     1 Ss   05-23:11:21  12752 /usr/libexec/nehelper
  205     1 Ss   05-23:11:21  16128 /usr/libexec/symptomsd
  208     1 Ss   05-23:11:21   3120 /usr/sbin/mDNSResponderHelper
  212     1 Ss   05-23:11:21  15808 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  215     1 S    05-23:11:21   2672 /usr/sbin/distnoted agent
  216     1 Ss   05-23:11:21  25808 /usr/libexec/syspolicyd
  222     1 S    05-23:11:21   2544 /usr/sbin/distnoted agent
  234     1 Ss   05-23:11:21  12624 /usr/libexec/nsurlsessiond --privileged
  241     1 Ss   05-23:11:21   3120 /usr/libexec/ApplicationFirewall/socketfilterfw
  243     1 Ss   05-23:11:21   6704 Core Audio Driver (ParrotAudioPlugin.driver)
  248     1 Ss   05-23:11:21   3472 /usr/libexec/audioclocksyncd
  249     1 Ss   05-23:11:21  13536 /usr/libexec/audiomxd
  253     1 Ss   05-23:11:21   3808 /usr/libexec/apfsd
  254     1 Ss   05-23:11:21   8064 /usr/sbin/WirelessRadioManagerd
  260     1 Ss   05-23:11:21   8368 /System/Library/CoreServices/TimeMachine/backupd
  262     1 S    05-23:11:21   2560 /usr/sbin/distnoted agent
  266     1 Ss   05-23:11:21   7232 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  267     1 Ss   05-23:11:21   6800 /System/Library/CoreServices/appleeventsd --server
  279     1 Ss   05-23:11:20   5472 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  282     1 Ss   05-23:11:20  30144 /opt/homebrew/opt/tailscale/bin/tailscaled
  283     1 Ss   05-23:11:20   4896 /opt/homebrew/opt/newrelic-infra-agent/bin/newrelic-infra-service -config /opt/homebrew/etc/newrelic-infra/newrelic-infra.yml
  284     1 Ss   05-23:11:20   7136 /usr/libexec/cameracaptured
  287     1 Ss   05-23:11:20   8240 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  291     1 Ss   05-23:11:20   5024 /System/Library/Audio/Plug-Ins/usbaudio.bundle/Contents/MacOS/usbaudiod
  294     1 Ss   05-23:11:20   1776 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000a36 com.apple.DriverKit-IOUserDockChannelSerial
  299     1 Ss   05-23:11:20   3200 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000a39 com.apple.AppleUserHIDDrivers
  301     1 Ss   05-23:11:20  36160 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000a55 com.apple.DriverKit-AppleBCMWLAN
  308     1 S    05-23:11:20   2544 /usr/sbin/distnoted agent
  315     1 S    05-23:11:20   2560 /usr/sbin/distnoted agent
  321   283 S    05-23:11:20  41792 /opt/homebrew/opt/newrelic-infra-agent/bin/newrelic-infra -config /opt/homebrew/etc/newrelic-infra/newrelic-infra.yml
  341     1 Ss   05-23:11:20  89312 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  342     1 S    05-23:11:19   2544 /usr/sbin/distnoted agent
  344     1 Ss   05-23:11:19   2128 /usr/sbin/cron
  348     1 Ss   05-23:11:19  25824 /usr/libexec/searchpartyd
  350     1 Ss   05-23:11:19   8112 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  352     1 S    05-23:11:19   6928 /usr/sbin/distnoted agent
  353     1 S    05-23:11:19   7424 /usr/sbin/cfprefsd agent
  354     1 S    05-23:11:19  15280 /usr/libexec/lsd
  356     1 S    05-23:11:19  24320 /usr/libexec/secd
  362     1 S    05-23:11:19  19648 /usr/libexec/UserEventAgent (Aqua)
  367     1 S    05-23:11:19  13824 /usr/libexec/neagent
  370     1 S    05-23:11:19  15200 /usr/sbin/universalaccessd launchd -s
  372     1 S    05-23:11:19  31120 /usr/libexec/pboard
  373     1 S    05-23:11:19   7856 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  374     1 S    05-23:11:19  26944 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  375     1 S    05-23:11:19  17104 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  377     1 S    05-23:11:19  18304 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  378     1 Ss   05-23:11:19  35568 /usr/libexec/wifip2pd
  379     1 S    05-23:11:19   2512 /usr/sbin/distnoted agent
  383     1 S    05-23:11:18  25552 /usr/libexec/rapportd
  384     1 S    05-23:11:18  16240 /usr/libexec/trustd --agent
  385     1 S    05-23:11:18  33664 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  387     1 S    05-23:11:18  38944 /usr/sbin/usernoted
  391     1 S    05-23:11:18  19424 /usr/libexec/nsurlsessiond
  392     1 S    05-23:11:18  43904 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  396     1 S    05-23:11:18  61856 /usr/libexec/sharingd
  397     1 S    05-23:11:18   2592 /usr/sbin/distnoted agent
  401     1 S    05-23:11:18 105392 /Applications/Ghostty.app/Contents/MacOS/ghostty
  402     1 S    05-23:11:18  16864 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  405     1 S    05-23:11:18  41440 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  409     1 S    05-23:11:18  40784 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  410     1 S    05-23:11:18  93744 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  411     1 S    05-23:11:18   8256 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  412     1 S    05-23:11:18  30256 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  413     1 S    05-23:11:18  86112 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  416     1 S    05-23:11:18   6992 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  418     1 S    05-23:11:18  31600 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  425     1 Ss   05-23:11:18  11952 /usr/sbin/filecoordinationd
  428     1 Ss   05-23:11:18  18848 /usr/libexec/gamepolicyd
  429     1 S    05-23:11:18  12400 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  430     1 Ss   05-23:11:18   4192 automountd
  431     1 S    05-23:11:18  15776 /System/Library/CoreServices/sharedfilelistd
  434     1 S    05-23:11:18  26384 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  438     1 S    05-23:11:18  30496 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  439     1 S    05-23:11:18   5616 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  442     1 S    05-23:11:18  23696 /System/Library/CoreServices/audioaccessoryd
  443     1 Ss   05-23:11:18   5584 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
  449     1 S    05-23:11:18  16240 /usr/libexec/ContinuityCaptureAgent server
  452     1 S    05-23:11:18  44176 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  454     1 Ss   05-23:11:17  24416 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUud2FsbHBhcGVyLmV4dGVuc2lvbi5hZXJpYWxzIn0=
  456     1 S    05-23:11:17 173328 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  460     1 Ss   05-23:11:17  25072 /System/Library/ExtensionKit/Extensions/WallpaperSequoiaExtension.appex/Contents/MacOS/WallpaperSequoiaExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53YWxscGFwZXIuZXh0ZW5zaW9uLnNlcXVvaWEiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
  472     1 S    05-23:11:17   6912 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  474     1 Ss   05-23:11:17   2688 /usr/libexec/ioupsd
  476     1 S    05-23:11:17  19200 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
  487     1 S    05-23:11:17  15504 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  489     1 S    05-23:11:17 192096 /Applications/Factory.app/Contents/Resources/bin/droid daemon --remote-access --enable-child-ipc --droid-path /Applications/Factory.app/Contents/Resources/bin/droid
  493     1 S    05-23:11:17  97728 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  494     1 S    05-23:11:17   9104 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  496     1 S    05-23:11:17   6208 /System/Library/Image Capture/Support/icdd
  498     1 S    05-23:11:17  32640 Contents/Resources/ChatGPTHelper
  504     1 S    05-23:11:17  22592 /Applications/Datadog Agent.app/Contents/MacOS/gui --headless
  506     1 S    05-23:11:17  16352 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  507     1 S    05-23:11:16  37776 /opt/homebrew/opt/moshi-hook/bin/moshi-hook serve
  508     1 S    05-23:11:16  41792 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  509     1 S    05-23:11:16  10144 /System/Library/CoreServices/diagnostics_agent
  511     1 S    05-23:11:16  29696 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
  512     1 S    05-23:11:16  23152 /Applications/Espanso.app/Contents/MacOS/espanso launcher
  516     1 Ss   05-23:11:16   2784 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  519     1 Ss   05-23:11:16  11904 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5DbG91ZERvY3MuaUNsb3VkRHJpdmVGaWxlUHJvdmlkZXIiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
  524     1 S    05-23:11:16 119536 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  525     1 S    05-23:11:16  17824 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  526     1 Ss   05-23:11:16  47392 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUud2VhdGhlci53aWRnZXQifQ==
  531     1 Ss   05-23:11:15  10976 /usr/libexec/nearbyd
  532     1 S    05-23:11:15  25888 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  533     1 S    05-23:11:15  24144 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  537     1 SNs  05-23:11:15   5312 /usr/sbin/netbiosd
  538     1 S    05-23:11:15   6320 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  541     1 S    05-23:11:15  17648 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  542     1 S    05-23:11:15  26768 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  543     1 Ss   05-23:11:15  17600 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-US")
  546     1 Ss   05-23:11:15  24048 /System/Library/CoreServices/Batteries.app/Contents/PlugIns/BatteriesAvocadoWidgetExtension.appex/Contents/MacOS/BatteriesAvocadoWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5CYXR0ZXJpZXMuQmF0dGVyaWVzQXZvY2Fkb1dpZGdldEV4dGVuc2lvbiIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
  554     1 S    05-23:11:14  16528 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  555     1 Ss   05-23:11:14  24592 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  556     1 Ss   05-23:11:14  23680 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.external.extra.arm64.xpc/Contents/MacOS/com.apple.dock.external.extra.arm64
  603     1 S    05-23:11:13 138928 /Applications/Raycast.app/Contents/MacOS/Raycast
  608     1 S    05-23:11:13 102176 /usr/libexec/avconferenced
  609     1 S    05-23:11:13   3760 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  612     1 Ss   05-23:11:13  34016 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5pQ2FsLkNhbGVuZGFyV2lkZ2V0RXh0ZW5zaW9uIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
  637     1 S    05-23:11:13  43776 /Applications/Swish.app/Contents/MacOS/Swish
  645     1 Ss   05-23:11:12  10368 /System/Library/ExtensionKit/Extensions/AccessibilitySettingsWidgetExtension.appex/Contents/MacOS/AccessibilitySettingsWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5BY2Nlc3NpYmlsaXR5U2V0dGluZ3NXaWRnZXRFeHRlbnNpb24iLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
  725     1 S    05-23:11:11   2544 /usr/sbin/distnoted agent
  748     1 Ss   05-23:11:11   7888 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  825     1 S    05-23:11:10  54336 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
  866     1 Ss   05-23:11:10   9088 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
  869     1 Ss   05-23:11:10   2352 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  882     1 Ss   05-23:11:10   8272 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
  885     1 Ss   05-23:11:10   1984 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  942     1 Ss   05-23:11:09   1792 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000e4d com.apple.IOUserBluetoothSerialDriver
  944     1 Ss   05-23:11:09   1792 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000e4f com.apple.IOUserBluetoothSerialDriver
  992     1 S    05-23:11:08   2560 /usr/sbin/distnoted agent
  994     1 S    05-23:11:08  27136 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
 1015     1 S    05-23:11:08   7536 /System/Library/CoreServices/RemoteManagement/ARDAgent.app/Contents/MacOS/ARDAgent
 1046     1 Ss   05-23:11:07   2352 gpg-agent --homedir /Users/sab-mini/.gnupg --daemon
 1047  1046 S    05-23:11:07   5824 scdaemon --multi-server
 1058     1 Ss   05-23:11:07   3120 keyboxd --homedir /Users/sab-mini/.gnupg --daemon
 1173     1 Ss   05-23:11:05  19040 /System/Applications/News.app/Contents/PlugIns/NewsToday2.appex/Contents/MacOS/NewsToday2 -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUubmV3cy53aWRnZXQiLCJ0eXBlIjoxfQ==
 1178     1 S    01-16:12:15   9488 /usr/libexec/SidecarRelay
 1180     1 Ss   05-23:11:05  16896 /System/Applications/Journal.app/Contents/PlugIns/JournalWidgetsSecure.appex/Contents/MacOS/JournalWidgetsSecure -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5qb3VybmFsLndpZGdldHMuc2VjdXJlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
 1188     1 Ss   05-23:11:05  16272 /System/Applications/Podcasts.app/Contents/PlugIns/PodcastsWidget.appex/Contents/MacOS/PodcastsWidget -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUucG9kY2FzdHMud2lkZ2V0IiwidHlwZSI6MX0=
 1198     1 Ss   05-23:11:04  17040 /System/Applications/Home.app/Contents/PlugIns/HomeEnergyWidgetsExtension.appex/Contents/MacOS/HomeEnergyWidgetsExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Ib21lLkhvbWVFbmVyZ3lXaWRnZXRzIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
 1220     1 Ss   05-23:11:04   8704 /System/Library/CoreServices/SubmitDiagInfo server-init
 1264     1 Ss   05-23:11:03  12272 /System/Applications/VoiceMemos.app/Contents/PlugIns/RecordWidgetExtension.appex/Contents/MacOS/RecordWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Wb2ljZU1lbW9zLlJlY29yZFdpZGdldCIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
 1273     1 Ss   05-23:11:03  24448 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5zdG9ja3Mud2lkZ2V0IiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
 1276     1 Ss   05-23:11:03  17328 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetPeople.appex/Contents/MacOS/FindMyWidgetPeople -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5maW5kbXkuRmluZE15V2lkZ2V0UGVvcGxlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
 1284     1 Ss   05-23:11:03  13968 /System/Applications/Journal.app/Contents/PlugIns/JournalWidgets.appex/Contents/MacOS/JournalWidgets -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5qb3VybmFsLndpZGdldHMiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
 1290     1 Ss   05-23:11:03  12272 /System/Applications/Weather.app/Contents/PlugIns/WeatherIntents.appex/Contents/MacOS/WeatherIntents -AppleLanguages ("en-US")
 1304     1 Ss   05-23:11:03  17680 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5jbG9jay5Xb3JsZENsb2NrV2lkZ2V0IiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
 1310     1 Ss   05-23:11:03  19088 /System/Applications/News.app/Contents/PlugIns/NewsTag.appex/Contents/MacOS/NewsTag -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5uZXdzLnRhZyIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
 1338     1 Ss   05-23:11:02  19520 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetItems.appex/Contents/MacOS/FindMyWidgetItems -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5maW5kbXkuRmluZE15V2lkZ2V0SXRlbXMiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
 1368     1 Ss   05-23:11:02  13232 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5TY3JlZW5UaW1lV2lkZ2V0QXBwbGljYXRpb24uU2NyZWVuVGltZVdpZGdldEV4dGVuc2lvbiIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
 1369     1 Ss   05-23:11:02   5456 /System/Library/PrivateFrameworks/MobileTimer.framework/PlugIns/MobileTimerIntents.appex/Contents/MacOS/MobileTimerIntents -AppleLanguages ("en-US")
